iter	Passed	Remaining
0	57	57913
1	58	29073
2	58	19447
3	58	14633
4	59	11749
5	59	9818
6	59	8455
7	59	7422
8	60	6617
9	60	5974
10	60	5451
11	60	5013
12	61	4644
13	61	4328
14	61	4052
15	61	3812
16	62	3599
17	62	3409
18	62	3239
19	62	3086
20	63	2947
21	63	2822
22	63	2707
23	64	2602
24	64	2506
25	64	2416
26	64	2333
27	65	2256
28	65	2184
29	65	2117
30	65	2055
31	66	1996
32	66	1941
33	66	1892
34	66	1845
35	67	1799
36	67	1755
37	67	1715
38	67	1675
39	68	1637
40	68	1602
41	68	1568
42	69	1535
43	69	1504
44	69	1474
45	69	1446
46	69	1418
47	70	1392
48	70	1367
49	70	1343
50	70	1320
51	71	1298
52	71	1277
53	71	1256
54	71	1237
55	72	1217
56	72	1198
57	72	1181
58	72	1163
59	73	1146
60	73	1130
61	73	1114
62	73	1099
63	74	1084
64	74	1070
65	74	1056
66	74	1043
67	75	1028
68	75	1015
69	75	1003
70	75	990
71	75	978
72	76	967
73	76	956
74	76	945
75	76	935
76	77	925
77	77	915
78	77	906
79	77	896
80	78	887
81	78	878
82	78	869
83	78	861
84	79	851
85	79	843
86	79	833
87	79	826
88	79	818
89	80	811
90	80	803
91	80	796
92	80	789
93	81	782
94	81	775
95	81	769
96	81	763
97	82	756
98	82	750
99	82	743
100	82	737
101	82	730
102	83	724
103	83	719
104	83	713
105	83	708
106	84	702
107	84	697
108	84	692
109	84	687
110	85	682
111	85	677
112	85	672
113	85	668
114	86	663
115	86	658
116	86	653
117	86	649
118	87	644
119	87	640
120	87	635
121	87	631
122	87	626
123	88	622
124	88	618
125	88	614
126	88	610
127	88	605
128	89	602
129	89	598
130	89	594
131	89	591
132	90	588
133	90	584
134	90	581
135	91	578
136	91	575
137	91	571
138	91	568
139	92	565
140	92	562
141	92	559
142	92	556
143	93	553
144	93	550
145	93	547
146	93	544
147	94	542
148	94	539
149	94	536
150	94	533
151	95	530
152	95	527
153	95	525
154	95	523
155	96	520
156	96	517
157	96	515
158	97	513
159	97	510
160	97	508
161	97	505
162	97	503
163	98	500
164	98	498
165	98	495
166	98	493
167	99	491
168	99	489
169	99	486
170	99	484
171	100	482
172	100	480
173	100	477
174	100	475
175	101	473
176	101	471
177	101	469
178	101	467
179	102	465
180	102	462
181	102	460
182	102	458
183	103	457
184	103	455
185	103	453
186	104	452
187	104	450
188	104	449
189	104	447
190	105	445
191	105	444
192	105	442
193	106	441
194	106	440
195	106	438
196	107	436
197	107	435
198	107	433
199	107	431
200	108	430
201	108	428
202	108	427
203	109	425
204	109	423
205	109	422
206	109	420
207	110	419
208	110	418
209	110	416
210	111	415
211	111	413
212	111	411
213	111	410
214	112	409
215	112	407
216	112	406
217	112	404
218	113	403
219	113	401
220	113	400
221	113	399
222	114	397
223	114	396
224	114	395
225	114	393
226	115	392
227	115	391
228	115	390
229	116	389
230	116	388
231	116	386
232	117	385
233	117	384
234	117	383
235	118	382
236	118	381
237	118	379
238	118	378
239	119	377
240	119	376
241	119	375
242	120	374
243	120	373
244	120	372
245	121	371
246	121	370
247	121	368
248	121	367
249	122	366
250	122	365
251	122	364
252	123	363
253	123	362
254	123	361
255	123	360
256	124	359
257	124	358
258	124	357
259	125	355
260	125	354
261	125	353
262	125	352
263	126	352
264	126	351
265	126	349
266	127	348
267	127	348
268	127	346
269	127	346
270	128	345
271	128	344
272	128	343
273	129	342
274	129	341
275	129	340
276	130	339
277	130	338
278	130	337
279	130	336
280	131	335
281	131	335
282	131	334
283	132	333
284	132	332
285	132	331
286	133	330
287	133	329
288	133	328
289	133	327
290	134	327
291	134	326
292	134	325
293	135	324
294	135	323
295	135	322
296	136	321
297	136	321
298	136	320
299	137	319
300	137	318
301	137	318
302	137	317
303	138	316
304	138	315
305	138	315
306	139	314
307	139	313
308	139	312
309	140	311
310	140	310
311	140	310
312	140	309
313	141	308
314	141	307
315	141	307
316	142	306
317	142	305
318	142	304
319	143	304
320	143	303
321	143	302
322	143	301
323	144	301
324	144	300
325	144	299
326	145	298
327	145	298
328	145	297
329	146	296
330	146	296
331	146	295
332	147	294
333	147	293
334	147	293
335	147	292
336	148	291
337	148	290
338	148	289
339	148	289
340	149	288
341	149	287
342	149	286
343	150	286
344	150	285
345	150	284
346	150	284
347	151	283
348	151	282
349	151	281
350	151	280
351	152	280
352	152	279
353	152	278
354	152	277
355	153	277
356	153	276
357	153	275
358	153	274
359	154	274
360	154	273
361	154	272
362	155	272
363	155	271
364	155	270
365	155	269
366	155	269
367	156	268
368	156	267
369	156	266
370	156	266
371	157	265
372	157	264
373	157	263
374	157	263
375	158	262
376	158	261
377	158	261
378	158	260
379	159	259
380	159	259
381	159	258
382	160	257
383	160	257
384	160	256
385	160	255
386	161	255
387	161	254
388	161	253
389	161	253
390	162	252
391	162	252
392	162	251
393	163	250
394	163	250
395	163	249
396	163	249
397	164	248
398	164	247
399	164	247
400	164	246
401	165	245
402	165	245
403	165	244
404	166	243
405	166	243
406	166	242
407	166	242
408	167	241
409	167	240
410	167	240
411	167	239
412	168	239
413	168	238
414	168	237
415	169	237
416	169	236
417	169	236
418	169	235
419	170	234
420	170	234
421	170	233
422	170	232
423	170	232
424	171	231
425	171	230
426	171	230
427	171	229
428	172	229
429	172	228
430	172	227
431	172	227
432	173	226
433	173	226
434	173	225
435	173	224
436	174	224
437	174	223
438	174	223
439	174	222
440	175	222
441	175	221
442	175	220
443	175	220
444	176	219
445	176	219
446	176	218
447	176	217
448	177	217
449	177	216
450	177	216
451	177	215
452	178	215
453	178	214
454	178	213
455	178	213
456	179	212
457	179	212
458	179	211
459	179	210
460	179	210
461	180	209
462	180	209
463	180	208
464	180	208
465	181	207
466	181	206
467	181	206
468	181	205
469	181	205
470	182	204
471	182	204
472	182	203
473	182	202
474	183	202
475	183	201
476	183	201
477	183	200
478	184	200
479	184	199
480	184	199
481	184	198
482	184	197
483	185	197
484	185	196
485	185	196
486	185	195
487	186	195
488	186	194
489	186	194
490	186	193
491	187	193
492	187	192
493	187	191
494	187	191
495	187	190
496	188	190
497	188	189
498	188	189
499	188	188
500	189	188
501	189	187
502	189	187
503	189	186
504	189	186
505	190	185
506	190	185
507	190	184
508	190	184
509	191	183
510	191	183
511	191	182
512	191	182
513	192	181
514	192	181
515	192	180
516	192	180
517	192	179
518	193	179
519	193	178
520	193	178
521	193	177
522	194	177
523	194	176
524	194	176
525	194	175
526	195	175
527	195	174
528	195	174
529	195	173
530	195	173
531	196	172
532	196	172
533	196	171
534	196	171
535	197	170
536	197	170
537	197	169
538	197	169
539	198	168
540	198	168
541	198	167
542	198	167
543	198	166
544	199	166
545	199	165
546	199	165
547	199	164
548	200	164
549	200	163
550	200	163
551	200	163
552	201	162
553	201	162
554	201	161
555	201	161
556	202	160
557	202	160
558	202	159
559	202	159
560	202	158
561	203	158
562	203	157
563	203	157
564	203	156
565	204	156
566	204	156
567	204	155
568	204	155
569	205	154
570	205	154
571	205	153
572	205	153
573	205	152
574	206	152
575	206	151
576	206	151
577	206	151
578	207	150
579	207	150
580	207	149
581	207	149
582	208	148
