iter	Passed	Remaining
0	1	1091
1	1	695
2	1	570
3	2	521
4	2	491
5	2	453
6	3	429
7	3	409
8	3	397
9	4	396
10	4	384
11	4	381
12	4	371
13	5	371
14	5	368
15	5	360
16	6	353
17	6	347
18	6	344
19	6	341
20	7	338
21	7	333
22	7	333
23	8	330
24	8	328
25	8	329
26	9	329
27	9	329
28	9	326
29	10	323
30	10	321
31	10	319
32	10	318
33	11	315
34	11	313
35	11	311
36	11	310
37	12	308
38	12	307
39	12	305
40	12	303
41	13	301
42	13	301
43	13	302
44	14	302
45	14	300
46	14	299
47	14	297
48	15	296
49	15	295
50	15	296
51	16	295
52	16	295
53	16	293
54	17	294
55	17	294
56	17	293
57	18	292
58	18	291
59	18	290
60	18	288
61	19	289
62	19	288
63	19	288
64	19	287
65	20	285
66	20	284
67	20	283
68	20	282
69	21	284
70	21	283
71	21	282
72	22	281
73	22	281
74	22	281
75	23	281
76	23	280
77	23	280
78	23	279
79	24	278
80	24	277
81	24	277
82	24	275
83	25	274
84	25	274
85	25	274
86	26	274
87	26	274
88	26	273
89	26	272
90	27	271
91	27	271
92	27	271
93	28	270
94	28	270
95	28	269
96	28	269
97	29	268
98	29	268
99	29	268
100	30	267
101	30	266
102	30	266
103	30	266
104	31	266
105	31	265
106	31	265
107	32	265
108	32	264
109	32	264
110	32	264
111	33	263
112	33	263
113	33	263
114	34	262
115	34	262
116	34	261
117	34	261
118	35	261
119	35	261
120	35	260
121	36	259
122	36	258
123	36	258
124	36	257
125	37	256
126	37	255
127	37	255
128	37	255
129	38	254
130	38	254
131	38	253
132	38	253
133	39	253
134	39	252
135	39	252
136	39	251
137	40	251
138	40	251
139	40	251
140	41	251
141	41	250
142	41	249
143	41	249
144	42	248
145	42	248
146	42	248
147	42	247
148	43	247
149	43	246
150	43	246
151	44	245
152	44	245
153	44	245
154	44	245
155	45	244
156	45	244
157	45	244
158	46	244
159	46	244
160	46	242
161	46	242
162	47	242
163	47	242
164	47	242
165	48	241
166	48	241
167	48	241
168	49	241
169	49	240
170	49	240
171	49	240
172	50	239
173	50	239
174	50	238
175	50	238
176	51	237
177	51	237
178	51	237
179	51	236
180	52	236
181	52	236
182	52	236
183	53	236
184	53	236
185	53	236
186	54	235
187	54	235
188	54	235
189	55	235
190	55	234
191	55	234
192	56	234
193	56	234
194	56	233
195	56	233
196	57	233
197	57	233
198	57	233
199	58	232
200	58	232
201	58	232
202	59	232
203	59	231
204	59	231
205	59	231
206	60	230
207	60	230
208	60	229
209	61	229
210	61	229
211	61	229
212	62	229
213	62	229
214	62	228
215	62	228
216	63	228
217	63	227
218	63	227
219	64	227
220	64	227
221	64	227
222	65	226
223	65	226
224	65	225
225	65	225
226	66	225
227	66	224
228	66	224
229	66	224
230	67	224
231	67	223
232	67	223
233	68	223
234	68	222
235	68	222
236	69	222
237	69	222
238	69	221
239	70	221
240	70	221
241	70	221
242	70	221
243	71	220
244	71	220
245	71	220
246	72	219
247	72	219
248	72	219
249	73	219
250	73	219
251	73	218
252	74	218
253	74	218
254	74	218
255	74	217
256	75	217
257	75	217
258	75	217
259	76	216
260	76	216
261	76	216
262	77	215
263	77	215
264	77	214
265	77	214
266	78	214
267	78	213
268	78	213
269	78	213
270	79	213
271	79	212
272	79	212
273	80	211
274	80	211
275	80	211
276	80	211
277	81	210
278	81	210
279	81	210
280	82	209
281	82	209
282	82	209
283	83	209
284	83	209
285	83	208
286	83	208
287	84	208
288	84	208
289	84	207
290	85	207
291	85	206
292	85	206
293	85	206
294	86	206
295	86	205
296	86	205
297	87	205
298	87	204
299	87	204
300	87	204
301	88	203
302	88	203
303	88	203
304	89	203
305	89	203
306	89	203
307	90	202
308	90	202
309	91	202
310	91	202
311	91	202
312	91	201
313	92	201
314	92	201
315	92	200
316	93	200
317	93	200
318	93	200
319	94	199
320	94	199
321	94	199
322	94	198
323	95	198
324	95	197
325	95	197
326	95	197
327	96	196
328	96	196
329	96	196
330	96	195
331	97	195
332	97	195
333	97	194
334	98	194
335	98	194
336	98	194
337	99	194
338	99	193
339	99	193
340	99	193
341	100	192
342	100	192
343	100	191
344	100	191
345	101	191
346	101	190
347	101	190
348	102	190
349	102	190
350	102	190
351	103	189
352	103	189
353	103	189
354	103	188
355	104	188
356	104	188
357	104	188
358	105	187
359	105	187
360	105	187
361	106	187
362	106	187
363	106	186
364	107	186
365	107	186
366	107	186
367	108	186
368	108	185
369	109	185
370	109	185
371	109	185
372	110	184
373	110	184
374	110	184
375	111	184
376	111	184
377	111	183
378	112	183
379	112	183
380	112	182
381	112	182
382	113	182
383	113	182
384	113	181
385	114	181
386	114	181
387	114	180
388	114	180
389	115	180
390	115	180
391	115	179
392	116	179
393	116	179
394	116	178
395	116	178
396	117	178
397	117	177
398	117	177
399	118	177
400	118	177
401	118	176
402	119	176
403	119	176
404	119	175
405	120	175
406	120	175
407	120	175
408	120	174
409	121	174
410	121	174
411	121	174
412	122	173
413	122	173
414	122	173
415	123	173
416	123	172
417	124	172
418	124	172
419	124	172
420	125	172
421	125	171
422	125	171
423	126	171
424	126	171
425	126	170
426	127	170
427	127	170
428	127	170
429	128	169
430	128	169
431	128	169
432	129	169
433	129	168
434	129	168
435	129	168
436	130	167
437	130	167
438	130	167
439	131	166
440	131	166
441	131	166
442	132	166
443	132	165
444	132	165
445	133	165
446	133	165
447	133	164
448	133	164
449	134	164
450	134	163
451	134	163
452	135	163
453	135	163
454	135	162
455	136	162
456	136	162
457	136	162
458	137	161
459	137	161
460	138	161
461	138	161
462	138	161
463	139	161
464	139	160
465	140	160
466	140	160
467	140	159
468	140	159
469	141	159
470	141	159
471	141	158
472	142	158
473	142	158
474	142	157
475	143	157
476	143	157
477	143	157
478	144	156
479	144	156
480	144	156
481	145	155
482	145	155
483	145	155
484	146	155
485	146	154
486	146	154
487	147	154
488	147	154
489	148	154
490	148	153
491	148	153
492	149	153
493	149	153
494	149	152
495	150	152
496	150	152
497	150	151
498	150	151
499	151	151
500	151	151
501	152	151
502	152	150
503	152	150
504	153	150
505	153	150
506	153	149
507	154	149
508	154	149
509	154	148
510	155	148
511	155	148
512	155	148
513	156	147
514	156	147
515	157	147
516	157	147
517	157	146
518	158	146
519	158	146
520	158	145
521	159	145
522	159	145
523	159	145
524	160	144
525	160	144
526	160	144
527	160	143
528	161	143
529	161	143
530	161	143
531	162	142
532	162	142
533	163	142
534	163	142
535	163	141
536	164	141
537	164	141
538	164	140
539	165	140
540	165	140
541	165	140
542	166	139
543	166	139
544	166	139
545	167	138
546	167	138
547	167	138
548	167	138
549	168	137
550	168	137
551	169	137
552	169	136
553	169	136
554	169	136
555	170	135
556	170	135
557	170	135
558	171	134
559	171	134
560	171	134
561	172	134
562	172	133
563	172	133
564	173	133
565	173	133
566	173	132
567	174	132
568	174	132
569	174	131
570	175	131
571	175	131
572	175	130
573	176	130
574	176	130
575	176	130
576	176	129
577	177	129
578	177	128
579	177	128
580	177	128
581	178	127
582	178	127
583	178	127
584	178	126
585	179	126
586	179	126
587	179	125
588	179	125
589	180	125
590	180	124
591	180	124
592	181	124
593	181	123
594	181	123
595	182	123
596	182	123
597	182	122
598	183	122
599	183	122
600	183	121
601	183	121
602	184	121
603	184	120
604	184	120
605	184	120
606	185	119
607	185	119
608	185	119
609	185	118
610	186	118
